,Unnamed: 0,comment
27,27,Sosok ayah yg tangguh dan papa yg bijak beruntung nada dibesarkan oleh pria pria yg tepat tingal bagaimana kelak nada berbakti ke sosok pria pria tersebut btw pilihan lagu yg sangat keren untuk di tampilkan
28,28,"Om Ded tahu kasus tukang Teh n Gus Miftah, mungkin akan bilang digoblokin Miftah membawa berkah, moga Miftah nambah hati2."
29,29,"Yang nolomg bijaksana, yg ditolong jg adabnya luar biasa, masih ada kata gak eanak, takut nyusahin, takut ngerepotin,, beruntung bgt Nada mendapatkan kasih sayang dari 2 sosok hebat ini,, respect,, aku salfok drtd ama kulitnya Nada,, putih bgt, bersih, gak pke filter2an, Bertumbuhlah terus Nada, Indonesia butuh pemuda/i hebat di masa depan"
30,30,Kayak penyakitnya Hae-in di drakor Queen Of Tears😢
31,31,Ditunggu undangan miftah di podcast
32,32,Siapa yg naroh bakwan di sini😢
33,33,"Duh ga bisa ngomong, alhamdulillah semua saling mendukunh, orang baik ketemu orang baik...semoga selalu seperti ini selamanya, semoga disayang dan diberkahi Allah SWT, aamiin"
34,34,"Aq senang banget lihat ini,indahnya klau lihat kebersamaan"
35,35,Aduh 15:36 mengandung bawang
36,36,Sedih gw om ded 😢😢😢
37,37,"seseru tu d awal ,mewek d akhir.😢"
38,38,Puji Tuhan ya om Beben sehat kembali. Bener2 pertolongan Tuhan tiada batas. Semoga sehat terus om Beben 🙏😊
39,39,Masya Allah. Semoga berkah Bang Dedi
40,40,"bagus jg main muskinya om ben, belajar darimana yah"
41,41,Miftah Miftah
42,42,Nah kayak gini loh yang di tolong tau cara berterima kasih..
43,43,Alm. Ayahku juga tumor otak😢 3 kali operasi. Operasi ke 3 meninggal
44,44,Pantaskah gus miftah dipanggil gus? Menjadi guru? Ga pantes
45,45,"om ded gw sbgai fans lu smnjak main sulap botak mata hitam 😂😂
narik mobil wkwkwkw.

knpa ortu nada kagak satu atap aja sama om dedi.
om ben ini drumer kalau gk salah ya.

gk kbayang 1 atap
azka sma nada ada 2 ortu 😂😂😂d satu rumah 😂"
46,46,Nada putih baaangeeeet
47,47,Nada kamu punya sosok Ayah & papa yg luar biasa.....
48,48,Apa aku doang yg nonton ini sepanjang podcast sakit nahan nangis😭😭😵‍💫🤣🫶🏻🫶🏻🫶🏻
49,49,Dalam hati ayah nya pasti menangis 😢
50,50,Contoh manusia2 yang berperikemanusiaan...orang2 bauk
51,51,"Kereen Azka, sosok abang yg melindungi adeknya.."
52,52,"Nanda 99% plek ayahe,gigine juga"
53,53,Om ded bisa ga jadi ada tulisan di ytnya biar bisa dibaca apa yg diobrolin nya
54,54,"Teruntuk om deddy,cari guru agama itu yg beradab baru berilmu,bukan seperti gus-gusan "" yg menjual agama demi kepentingan pribadi "",bahkan saya liat guru nya om ded itu bukan orang yg paham akan agama melainkan ngerti agama tapi tidak paham.

Semoga om deddy selalu di lindungi allah dan menimba ilmu agama nya kepada orang yg tepat,salam dari kabupaten pasaman,sumatera barat."
55,55,Akhirnya BPK kandung nada podcast.drdl penasaran
56,56,Om ded tolong pertemukan gus miftah sama bapak penjual es di podcast
57,57,"Makin pulih makin sehat buat ayah Ben,, ayah the best dengan segala kesulitan dan kesakitan. Setelah ini makin happy,, Buat papa Dedy, Azka, kak Sab, sehat-sehat kalian... ❤"
58,58,Sepanjang video ada rasa haru dan ikut seneng dgn keharmonisan hubungan mereka ❤
59,59,Haloo om ded heheee mau beli es teh? 😂
60,60,Agus kameramen yang punya kameramen kemana om ded ?
61,61,"Ayah Beben tu contoh manusia yg mendahulukan adab. Tidak mrngambil kesempatan dan TAU DIRI. Saya salut, walau dia terkena cobaaan yg BERAT AMAT tp dia tetap menjaga sikap baik nya. Papa Deddy juga menenmpatkan diri dengan Baik. 
TOLONG BGT JGN KASI PANGGUNG BUAT SI GUS GUSAN MIFT4H itu. MOHON BGT JANGAN"
62,62,"Klo agus ditolong ga begini jadinya.. 
Agos sedih"
63,63,43:13
64,64,"mas beben ayag tangguh, mas dedy luar biasa. sy pengen nangis"
65,65,Jangan sampai kasih kursi buat miftah klarifikasi tolong banget om deddy
66,66,Nana mirip ayahnya bgt....luv
67,67,Tumor otak ngeri. Gw yg tumor di dalem telinga bisa idup normal tanpa efek samping pasca oprasi aja sampe 6 bulan.😢 Keep strong om.
68,68,"Bahagia ya Nada punya orang tua dua orang, ada ayah dan papa...Semoga ayahnya sehat sempurna dan mas Deddy juga diberi umur panjang serta sehat selalu...Amin..."
69,69,Berasa  denger bpk2 nge gosipin anak 😂
70,70,"aku kirain Nada itu anak tirinya dedy dari istrinya sabrina, ternyata bukan ya.. ternyata anak angkat."
71,71,"Sumpah AQ meneteskan air mata melihat ke dekatan mereka 😢😢😢
Aku sangat ingin merasakan memiliki sosok seorang ayah"
72,72,tolong jangan membully yah netizen yang budiman ... nada ini diangkat anak sama om ded karna keadaan ayahnya
73,73,Beben t five itu yg dulu gondrong maen bass/gitar gitu bukan sih?
74,74,Senyum senyum nonton ini
75,75,Baru tau ayahnya nada ternyata artis juga di zamannya. Sehat semuanya 😇
76,76,Emang sebnerny impian stiap ank perempuan itu punya kakak laki2...karena pasti ngejagainya lebi tau selahny dr pada bpak kita soalny 1 jaman😂
77,77,bayangin agus yang ditolong wkwk pasti nglunjak
78,78,"Nah ini kl org baik ketemu org baik,  adem liatnya 🥰 kebayang kl nolongin org yg ""salah"".. nanti yg ada malah minta duit konten ratusan juta, atau malah manggil pengacara karna ngangkat anak org 😂"
79,79,Menit 49:10 😢😢😢
80,80,Om ded penghancur lagu (becanda)
81,81,Akhirnya
82,82,Ternyata nada mirip ayahnya
83,83,Respect mang beben
84,84,"mewek banget video ini.. kangen alm. papaku 😭

nada, you are so lucky to have 2 amazing dads. 
jadi anak 2 legend pada bidangnya tuh sesuatu banget.  manfaatkan dengan baik kesempatan yg ada"
85,85,Keren bang dedi jd orang tua angkat yg memberikan pendidikan karakter dan ttp memberikan support buat nada serta dibantu dijagaian azka yg protectif dlm arti postitif Terimakasih papah dedi dan buat nada ttp jg sayangi hormati ayah kandungnya jg ya semoga jadi anak yg rendah hati baik sholehah aamiin
86,86,Om Dedy C mmng kerent … Nada kamu beruntung punya dua sosok laki2 yg hebat❤❤❤
87,87,Ngakak liat dedi cobuuzier nyanyi pas bareng nada hahahahaahha..becandain nada hehehe..tp om dedi ternyata bagus juga suaranya....uhuuy heehe
88,88,"Deddy orang yg sangat baik, 
Semoga tambah sukses❤❤"
89,89,Ibu nya nada Si Sabrina bukan sihhh. Serius nanya jgn di bully. Gw tuh pikir Nada ga punya bapak LG. Dedy nikahin janda mati. Ga tau nya msh ada bapak nya. Salutt bgt Sm Nada. Gw nangiss bgt pas dia ikutan acara kompetisi trs Dedy nyanggupin biaya nya nada sekolah
90,90,Cocok kok jadi anak om ded nada❤...
91,91,"❤❤❤ KAMI NGEFANS BERAT SAMA KELUARGA INI ...NICE BANGET POKOKNYA ,SEHAT SEHAT SELALULAH KALIAN OM DADY  SEKELUARGA...ALLAH MENYERTAI KALIAN...AAMIIN"
92,92,"You so lucky , Nada, have two fathers❤"
93,93,Om botak ❤
94,94,terharu ...
95,95,"aguuuuusssss.....nonton ni podcast, masih bisa denger kan lu."
96,96,Jad keinget hong hae in🥺
97,97,Nada lama2 kok mirip kak sabrina ya...
98,98,Akhirnya bisa liat ortunya Nada. Penasaran gimana hubungan om dedy sama ortu kandungnya.
99,99,Zikit dan baca alquran dibanyakin ayah nada yg sabar
100,100,MashaAllah bahagia banget nada punya 2 ayah yang sangat sayang sama dia. Yang menolong baik yang ditolong tau terimakasih. Sejuk sekali
101,101,"Ternyata nada itu muslim...masyallah...sehat sll untuk ayahnya nada...stlh denger cerita ini smg om dedi selalu  bantu ayahnya nada,.....aamiin.."
102,102,terharuu 🥲
103,103,Dari attitude nada aja udh kliatan hebatnya ayahnya mendidik dia. Dan om deddy beruntung sih ketemu anak pinter dan berbakat kyk nada.
104,104,Respect buat om deddy 😊
105,105,"Wahh... ada nada...
Kangen liay konten konten nada bareng azka..
 Suka liat azka jahilin nada"
106,106,Nada sering ke bandung?
107,107,"Jadi inget ayah aku dulu punya kanker ganas di otak, 24 tahun yg lalu.. di rujuk ke rs bandung, tapi entah kenapa mamah gak pernah mau berangkat, mungkin karna keterbatasan ekonomi.. Selama 2/3 tahun ayah menderita sakit, akhirnya ayah berpulang.. Miss you ayah 😢"
108,108,pemandangan yang indah 🙏
109,109,"Ada sedihnya,,, tapi lebih seru melihat keakraban nada sama papanya dan ayahnya...bener"" popcast yg bikin senang😊😊😊😊"
110,110,"Masya Allah....ikut seneng dan bersukur melihat om Deddy sehebat itu, Nada dan ayahnya juga bisa menempatkan diri dg baik...hebat hebat"
111,111,Cengar cengir sendiri gua liat podcast ini😂
112,112,Bahagia dan beruntungnya Nada....di kelilingi org org yg menyayangi & mencintainya....❤❤❤🎉
113,113,Pas nyanyi kok di cepetin.. kan pengen denger...😁💕
114,114,Ahkir kata kata nya membikin aku meneteskan airmata . Mas Deddy  baik
115,115,❤❤❤❤
116,116,🥰😇
117,117,Suka bangettt liatnya❤
118,118,apdi<- padahal hajat ku cmn 1 studio 1 pc buat kerja sma makan sma alat2 gym :/
119,119,kanker pasti bg udin tuh gra2 dia kcau smua hubungan -_-
120,120,Nggak nyangka azka bakal begitu ke nada. Kirain cuek bodoamat gk peduli😂
121,121,Undang gus miftah om ded 😂
122,122,"dari awal napa jga om dedy -,- kirain ank bu sab :< kan jlas gni kan tnggl cari 100 cwe aku 😂😂"
123,123,"Saya sekarang baru Paham Kenapa nada ini protektif ke Papa Dedi karena mungkin dia nggak mau Papanya sakit juga seperti ayahnya ya mungkin begadang minum minum dan segala macamnya diam agak protektif karena takut papa
 juga sakit

Jadi mungkin dia lebih protektif ke para bapaknya ini ya begini"
124,124,Paling ngakak cerita soal Azka yg protective hahahahahahaha Azka jagain bgt Nada takut adek kesayangan knp2.Sukak bgt sama The Corbuziers ini sekeluarga so sweet bgt. Mana Ayah dan Papanya kompak pula wkwkwkwwkwk BTW lagu2 T-Five itu nemenin masa mudaku sehat terus ya Mas Beben. Nada:What a lucky girl you are!
125,125,Saya sbg seorang kakak yg memiliki adik perempuan mengerti tanggung jawab azka sbg seorang kakak 😂
126,126,"I see 2 gents who have so much respect and love towards each other sehat sehat om bhen,om dedd, nadaa❤️‍🔥❤️‍🔥"
127,127,"Bahas gus miftah yg viral menghina penjual es teh, skliyan lu ajarin si Miftah adab sopan santun dan rendah hati.

Trims... Wassalam"
128,128,Tanggapan nya om ded soal di Agus Miftah
129,129,Kapan undang Gus Miftah lagi ded
130,130,"om ded, guru lu buat masalah tuh.."
131,131,Untung dedi nolongnya orang yang tau bersyukur..coba kalau dedi nolongnya agus pasti beda endingnya..ujung2 om ded yang dilaporin kasus penculikan anak ...😂😂😂
132,132,"Mreka gak sedih gk nangis, gk cerita yg lebay"". tapi aku terharu sm hubungan mreka bertiga. Salut, keren bgt....  ikut nangis bahagia."
133,133,THE BEST lo OM DED 👏🥳🥳💪🤩🤩
134,134,"gini harusnyaa kalo ditolong orang lain yaa. gak aji mumpung, tau diri, baik sekali, tau terimakasih. semangaaat papa nada"
135,135,MasyaAllah.. perbincangan yg indah bgt..
136,136,"Ibu nya nada kmana emg nya ya, ada yg tau gk? Maaf ya cuma penasaran aja"
137,137,Om ded undang lagi pak miftah di podcast ini dong...🙏
138,138,Keren
139,139,Om deddy corbuzier tolong undang GUS MIFTAH atas videonya yg viral goblok goblokin pedagang  air yang sedang mencari nafkah
140,140,Om kenapa ga baha gusmiftah? Yg di bilang gurumu? Lagi viral tuh.
141,141,Tahta tertinggi walaupun punya 2 ayah masih ada kak azka😂😂
142,142,"gilaaa,,, nggak kerasa saya berkaca2 ngeliat kalian ngobrol... 2 ayah yang hebat....."
143,143,"Masya Allah beruntungnya nada... Ayahnya sakit tumor tp bisa sembuh... Bapakku juga tumor otak posisinya hampir sama bagian depan tp sebelah kiri... Bapakku sampe 4 kali operasi, tp Allah berkehendak lain bapak hanya bertahan 3 tahun... Sama persis bapakku juga sering lupa kya ayahnya nada... Sehat selalu buat ayahnya nada...❤"
144,144,"keluarga yang harmonis ,semoga selalu di berikan kesehatan untuk semuanya"
145,145,Coba Gus Miftah diajarin Bosss.
146,146,"Sebagai anak yg fatherless sejak kecil, nonton ini sepanjang episode dikit2 nangisssss 😭😭😭 beruntung banget nada punya ayah dan papa yg keren. Sehat selalu ya untuk ayahnya nada, kalian semua keren ❤️❤️❤️"
147,147,om ded baek ya... barokalloh
148,148,Ustd khalid kapan di undang lagi om
149,149,hebat om dedi
150,150,"Undang Gus miftah om, coba suruh klarifikasi di channel ini.... Dengan adanya vidio yg viral itu."
151,151,"Saya salut dgn om ded dr dlu karna moralnya semakin mateng dan azka jg sampe sesyg itu sama nada meski bkn adik kandung.
Salut buat om ded azka dan sekeluarga. Bisa jadi panutan kita"
152,152,"Bos Ded tanggapan nya gimana ya tentang gus miftah , semoga dia sadar dan berubah lebih baik ya ,jangan buat orang lain sakit hati dan sedih , kasihan bpak penjual es itu , di hadapan Allah bisa jadi dia lebih mulia daripada si gus gus itu 😢😢😢"
153,153,Tanggapanya tentang kasus es teh manis om?
154,154,Setelah yang Agus ga indah terbitlah Beben yang sangaaaaaaaaaat indah... Nada kamu adalah gadis terberkahi di alam semesta ini..
155,155,"Es esteeeeh... Hadirkan miftah klarifikasi wajib.. 


Esteeeeh esteeeeeeh.😭😭😭😭"
156,156,"Kebetulan ne tema ayah, om ded tu liat kelakuan gurumu, 1 ayah yg direndahkan jutaan anak yg sakit hati karena ucapannya, gurumu si toleransi agama tapi tidak dengan toleransi sosialnya..."
157,157,"Nada terlihat sekali walau kuat di luar, tampak rapuh dalamnya sedih liat ayahnya"
158,158,Antara contoh manusia yang tahu bersyukur bukan mcm Adam Dan anak angkt asynti
159,159,"Sama persis adek ku ...
Operasi tumor otak 2007 selang sehari dengan Gugun Gondrong dan Erna Liby , alhamdulillah bertahan sembuh sampai 2012 , lalu muncul lagi dari yg 20% numbuh lagi.....
Perjuangan ku bertahun² merawat beliau.
Disaat usia ku masih 21 tahun. Bertaruh dan berjuang banyak hal mengupayakan kesembuhan nya......
Informasi di Internet belum semasif sekarang, rumah sakit PON belum ada, BPJS belum ada .......
Aku melewati banyak hal luar biasa.....
Anak muda, miskin memperjuangkan kesembuhan adik yg tumor otak. Operasi di RSPAU dengan dr Wawan SpBS"
160,160,Bntar lg pasti ngundang gus miftah 🗿🗿
161,161,Bentar lagi pasti ngundang gus miftah nih om ded 😁
162,162,"Ah Nada saya iri lho,,km masih bisa bilang ""I Love You"" dan masih bisa cium pipi ayahmu dan di respon pula..sedangkan saya,, sudah 10 tahun dari terakhir saya mencium, memandikan dan menguburkan ayah saya..dan cium terakhir saya dalm kondisi beliau sudah tdk merespon...buat ayah nada semangat untuk sembuh dan lebih baik lagi ya semoga suatu saat nada menikah dirimu masih ada untuk menjadi wali nya..."
163,163,Om ded gimana tanggapan nya yang lagi viral penjual es teh
164,164,"Tumor otak, jadi inget alm.ibuku😢"
165,165,"Om.. Maaf ni.. Undang gus miftah,sma bpak penjual es itu om,netijen geram semua ini,, kasian bpak nya itu..beliau yg di goblok2in netijen juga yg mrsakan sakit hati nya..mungkin bpak nya, anak nya , dan kluarganya, pasti mrasakan sakit nya.. 
Bercanda nya gus miftah ngaco itu,,gk liat sitkon,,,
Harus minta maaf klo mrsa buat orang sakit hati...sekalian undang itu yg pake kacamata ketawa nya puas bngt... Gak lucu itu..,,om ded kan kenal dekat dengan beliau... Cobalah diskusi dengan beliau... Mohon maaf om bukan mau sok gmna gitu... Demi kebaikan bersama ajh... Kasiann bpak nya"
166,166,Bahagia banget liat nada disayang dan dijagain banget sama 3 orang laki² hebat 🥰
167,167,"Podcast paling tongkrongan setaiill kek lagi bertamu, duduk di meja tamu sih ini, asik."
168,168,"Btw, ada yang sama gak sih klo nonton chanelnya om Ded di Hp meski buka aplikasi lain atau diminimize, videonya gak nutup. Tapi klo nonton di chanel yang lain videonya langsung nutup🙄"
169,169,Terharu 😢
170,170,"om Deddy,  undang gus Miftah lagi dong , lagi viral ini ,, terimakasih"
171,171,Ditunggu tanggapan tentang gusmiftah dan es teh.
172,172,"Om ded, gimana tanggapan om ded tentang si gus miftah itu yang melontarkan perkataan yang sangat tidak di harapkan oleh semua orang, kepada penjual es teh tersebut????"
173,173,"Punya ayah papa yg syg bgt jg KK yg protect bgt itu previledge loh Nada,ga smw wanita yg mengimpikan itu bs merasakan 😊"
174,174,"Simple,gak berat,tapi masuk hati"
175,175,Omm ded bahas gus goublok juga donk.
176,176,Seneng liatnya..sampe keluar air mata...om Dedy ttp jd papanya nada ..ayahnya nada makin sehat
177,177,Sangat menyentuh
178,178,"Definisi of orang Bandung yang basic nya Sunda.

Gak enakan."
179,179,"Tengkiuuu om,ini salah satu podcast terbaikkkkk. Sehat dan suksesss selaluuuuu buattt para orang tuaaaa"
180,180,"penjual es teh yang di hina dan dipermalukan utusan khusus presiden di depan orang banyak tolong di up om.,jngn karna kenal sama utusan khusus jadinya om dedi tak mau angkat beritanya.mohon di angkat beritanya om,biar orang orang toxic dibersihkan dari pemerintahan pak prabowo."
181,181,"Om deddy pasti lagi pusing kepala gus miftah minta di tolongin di undang ke podcast dia mau klarifikasi.
Tapi dia lakuin kesalahan fatal.
Makanya om dede bingung mau lewat celah mana nolonginnya. Udah ga ketolong 😂"
182,182,Undang guz Miftah om yg lagi viral ❤❤❤
183,183,Om ded pas jd mualaf sma gus miftah yah 😂😂😂
184,184,"Keren ayah nya Nada 
Cool bgt beliau niih...dan just knew that he was one of Tfive's member"
185,185,ini episode terloveeee.
186,186,Woy botak liat kelakuan guru lu
187,187,"Dengan segala keterbatasan krn sakitnya, beliau tetap tegak di atas kaki sendiri. Ngga menjual rasa sakitnya agar dikasihani. Keren sih... Semoga lekas pulih dan dibuka pintu rezekinya. Aamiin"
188,188,Bawa di Podhub om ayah nya nada nya ❕
189,189,Om dedy undangan gus miftah mencaci maki orng jualan teh kata nya mengenal allah tapi tidak ada adab itu kata nya paham agama wkkwkw
190,190,Ah suka banget liatnyaaa :( dreal angkat anak yang indah tuh ga kaya gni banyak yg angkat anak buat cari panggung doang trus gattau kabarnya gimanaa
191,191,UNDANG GUS MIFTAH TMN OM DEDY LAGI VIRALL YG BILANG TUKANG ES TEH PEDAGANG KAKI LIMA......OM...... VIRAL GUS MIFTAH DI MEDSOS.....!!
192,192,Nada mirip ayhnya..😊
193,193,Ya Allah semoga ayah nada sehat kembali 100%
194,194,Om Ded jangan sampe Miftah yang ngaku Gus itu diundang ke podcastmu ya Om.
195,195,"kalian bertiga ngga ada yg nangis gitu?? biar aku wakilin aku aja yg nangis , huahuahuaaaa :( :( :("
196,196,Undang katanya Gus miftah om
197,197,nada kamu beruntung😊
198,198,"Om ded , undang si gus miftah guru sampean dong terkait adab buruk nya menghina penjual es teh...jgn ambil ilmu nye dr manusia macem die 0:39"
199,199,Suami ku seperti itu masalah sebesar apa pun dia pendam sendiri dia tidak mau istri nya kepikiran 😢
200,200,Nada.. Denger tangannya gak bisa diem. Lebih cocok belajar bass . Jarinya bakal lebih aktif.
201,201,Undang A Gus miftah dong...pendakwah dengan tutur kata yg aangat sopan😂
202,202,"Klu al el dul py 2 ayah satu kaya ,,yg satu kaya banget,,nada punya 2 ayah,,yg satu sayang yg satu banget❤"
203,203,"Seru ih liat Ayah, papah, Nada ❤❤❤"
204,204,"Om dedy hebat ........bapak angkat yang hebat , tetap mendekatkan nada sama ayah ibunya......seneng lihatnya, harmonis.......pengin nangis liatnya ❤❤❤"
205,205,"Meskipun Tumor Otak Tapi Pikirannya Morall Kelass,banyak Yang Otaknya Normall Tapi gatau diri,Terutama AGUS dan MIFTAH🗿🗿"
206,206,terimakasihPULAU777
207,207,Lagi nunggu Podcast cebok nya si miftah disini... Biasane bentar lagi tayang
208,208,"om dedy, coba udah liat belum video guru spiritualnya om dedy. mengenai gus miftah dan pedagang es teh. bagaimana responnya om dedy?"
209,209,Definisi pria tidak bercerita kecuali agus
210,210,Suka banget sama keluarga kalian ❤❤
211,211,Sempurna
212,212,"Om sebagai seorang bapak yang sedang berusaha mencari nafkah dengan menjual air. Lalu di hina didepan banyak sekali manusia.

Tanyakan ke azka dan Nada apa yg bakal mereka lakuin?"
213,213,❤❤❤
214,214,Nenx undang Master Limbads om
215,215,2 lelaki hebat
216,216,"om undang herris skuy dong om, orang yg di block dari ometv."
217,217,"Titip pesan but Gus Miftah kalau mampir kesini buat klarifikasi Om Ded… kalau seandainya yg jualan ea teh itu bapak si gus yg lagi cari nafkah gimana? Digituin didepan umum…
Kalau dia bilang dia bisa dengan hal seperti itu, apakah standar kebenaran itu berdasarkan kebiasaan? Jika kebiasaan dijadikan alat utk pembenaran bisa kacau semua. Jika di suatu derah ada masyarakat nya berjudi, zina, apakah bisa dijadikan landasan kebenaran karena sudah kebiasaan? Katanya ulama? Ulama adalah pewaris para Nabi, apa ada Nabi yg begitu adabnya?"
218,218,"Awal aku ketawa ikut bahagia lihat keluarga nada, tapi kebelakngnya terharu mewek. Pelajaran berharga dewasa dan bahagia dg keluarga bersama sama didik anak"
219,219,kok gbsa diputar ya????
220,220,"Seneng liat ini om ded Happy bgt 🎉
Nada selalu bersukur ya ❤❤"
221,221,Om ded podcast miftah lg dong seruu ni
222,222,Sosok ayah dan papa yang amat sangat saya rindukan..saya belum bisa seperti beliau..❤
223,223,😀😀😀😀😀
224,224,"Deddy !! Nohh GURUHHH ELU MIFTAHHHH !!! Blunder, engga speak up lu ? Lumayan Adsense ya gede nihh cuaaaann !!!"
225,225,OM..UNDANG DONG PANUTAN ANDA YANG SEDANG DIHUJAT SELURUH INDONESIA..BERANI GAK?
226,226,"Closing yg indah sepanjang masa podcast close the door yg pernah ada, ikut bahagia dan bisa merasakan khususnya buat gw yg juga seorang ayah😊
Bahagia dan sehat selalu buat kita semua, cheers 🎉🎉"
227,227,"Bahagia ya nada punya Sosoh ayah sama papah didunia...aku ikut senang,terharu liatnya aku anak tanpa sosok ayah atau papah dlm hidupku"
228,228,The real podcast banyak irisan bawangnya...Salut sama Ayah dan Papa Nada. It takes a big heart to be like that. You are so blessed Nada.
229,229,"Om Ded, demi apapun! Tahun 2010-2011 saya pernah jemaat di Beth*ny Cikarang (sebelum tersadarkan dan tobat pindah gereja), ada satu pendeta (lupa namanya) yg bilang ke anak2 youth kalo Om Ded itu petinggi gereja setan dong 😭 orang sebaik ini dong 😭"
230,230,Wish nya dalem banget😢
231,231,terharu
232,232,"Om ded, bilangin sama sahabatmu si Gus itu, apa lagi sekarang udah JD pejabat, pasti akan lebih disorot. kalau ngomong mbok ya di filter, jangan suka nyakitin hati orang terutama orang kecil"
233,233,Saya tidak mengharapkan uang kembali tapi saya tidak ingin ada orang lain yang terkena dampak seperti saya
234,234,Ayah sama papahnya keliatan sayang bgt ❤
235,235,Banyak yang kena tipu dengan model seperti itu pak deddy tolong usut saya sudah dan suami saya sudah 2x kena tipu dengan penipuan yang berbeda sudah lapor polisi tapi percuma sudah 3 tahun tidak ada kejelasan tolong pak deddy
236,236,Baru liat judul udah mau nangis aja ini gimana😢😢😢😢
237,237,Undang Gus Mifftah Goblok  om...
238,238,siapa yang ngiris bawang sih?
239,239,Ya Allah itu lagu kesukaan sy pd jaman SMA dulu❤❤❤
240,240,PODCAST SELANJUTNYA MEMBANTU GUS MIFTAH KLARIFIKASI 😂😂😂 SETELAH GERINDRA SURUH MINTA MAAF LANGSUNG CEPET BUAT VIDEO 😂😂😂
241,241,Sometimes.. i hate copyright things 😅
242,242,seneng bgttt ya nada banyak yg sayang❤
243,243,Masyaallah beruntung sekali nada dipertemukan dg om Dedi .. sehat2 selalu
244,244,"Perasaan gw kaga ada yg nangis dah di podcast inii, tp ngapa gw yg nangis dah😭"
245,245,Bang es teh nya Gus Miftah bang
246,246,Bahagia Nada ..mempunyai dua sosok ayah/papa yg sangat menyayangi ❤❤❤
247,247,"om ded, gusmiftah noh😂"
248,248,Klarifikasi si Miftah akan tayang kapan Gus???😂
249,249,"Es teh es teh ,yg haus yg haus"
250,250,BREBES MILIIIII....ikuuuttt  HEPIIIII❤
251,251,om ded coba ajak Pak Mitfah buat ngobrol2 soal kejadian tukang es teh yg viral.
252,252,Wah baru tau ternyata nada anaknya living legend beben t-five
253,253,lihat gini guss jgn marukk
254,254,"Gua masih ada ayah , tapi iri ajah 😢"
255,255,"Om ded is the best,ini yg namanya sibiosis mutualisme,ikut bahagia ngelihatnya...,memang benar cara didik anak sekarang memang salah,dikiranya orang tua memberi kasih sayang tp dampaknya merugikan,aku juga dulu kecil ikut sm nenek dan kakekku karena orang tua bercerai,dan di sana cara didik nenek kakekku seperti melatih militer,hampir setiap hari kena pukul sapu,kena cubit smpe bengkak,ngga boleh buat salah sedikitpun,dr sana aku belajar,disiplin itu penting,dan aku terapkan sm anak ku sekarang,walaupun tanpa kekerasan aku tegas dan galak sm anakku,alhamdullilah anakku nurut dan patuh,berbeda dengan anak lain jaman sekarang,semoga tetap menjadi anak yg sholeh...amin"
256,256,"""Wahhhhhhhhhhhhh"" who is she ?"
257,257,Gus miftah
