,Unnamed: 0.1,Unnamed: 0,comment
45,45,45,om ded gw sbgai fans lu smnjak main sulap botak mata hitam narik mobil wkwkwkwknpa ortu nada kagak satu atap aja sama om dediom ben ini drumer kalau gk salah yagk kbayang 1 atapazka sma nada ada 2 ortu d satu rumah 
46,46,46,nada putih baaangeeeet
47,47,47,nada kamu punya sosok ayah  papa yg luar biasa
48,48,48,apa aku doang yg nonton ini sepanjang podcast sakit nahan nangis
49,49,49,dalam hati ayah nya pasti menangis 
50,50,50,contoh manusia2 yang berperikemanusiaanorang2 bauk
51,51,51,kereen azka sosok abang yg melindungi adeknya
52,52,52,nanda 99 plek ayahegigine juga
53,53,53,om ded bisa ga jadi ada tulisan di ytnya biar bisa dibaca apa yg diobrolin nya
54,54,54,teruntuk om deddycari guru agama itu yg beradab baru berilmubukan seperti gusgusan  yg menjual agama demi kepentingan pribadi bahkan saya liat guru nya om ded itu bukan orang yg paham akan agama melainkan ngerti agama tapi tidak pahamsemoga om deddy selalu di lindungi allah dan menimba ilmu agama nya kepada orang yg tepatsalam dari kabupaten pasamansumatera barat
55,55,55,akhirnya bpk kandung nada podcastdrdl penasaran
56,56,56,om ded tolong pertemukan gus miftah sama bapak penjual es di podcast
57,57,57,makin pulih makin sehat buat ayah ben ayah the best dengan segala kesulitan dan kesakitan setelah ini makin happy buat papa dedy azka kak sab sehatsehat kalian 
58,58,58,sepanjang video ada rasa haru dan ikut seneng dgn keharmonisan hubungan mereka 
59,59,59,haloo om ded heheee mau beli es teh 
60,60,60,agus kameramen yang punya kameramen kemana om ded 
61,61,61,ayah beben tu contoh manusia yg mendahulukan adab tidak mrngambil kesempatan dan tau diri saya salut walau dia terkena cobaaan yg berat amat tp dia tetap menjaga sikap baik nya papa deddy juga menenmpatkan diri dengan baik tolong bgt jgn kasi panggung buat si gus gusan mift4h itu mohon bgt jangan
62,62,62,klo agus ditolong ga begini jadinya agos sedih
63,63,63,4313
64,64,64,mas beben ayag tangguh mas dedy luar biasa sy pengen nangis
65,65,65,jangan sampai kasih kursi buat miftah klarifikasi tolong banget om deddy
66,66,66,nana mirip ayahnya bgtluv
67,67,67,tumor otak ngeri gw yg tumor di dalem telinga bisa idup normal tanpa efek samping pasca oprasi aja sampe 6 bulan keep strong om
68,68,68,bahagia ya nada punya orang tua dua orang ada ayah dan papasemoga ayahnya sehat sempurna dan mas deddy juga diberi umur panjang serta sehat selaluamin
69,69,69,berasa  denger bpk2 nge gosipin anak 
70,70,70,aku kirain nada itu anak tirinya dedy dari istrinya sabrina ternyata bukan ya ternyata anak angkat
71,71,71,sumpah aq meneteskan air mata melihat ke dekatan mereka aku sangat ingin merasakan memiliki sosok seorang ayah
72,72,72,tolong jangan membully yah netizen yang budiman  nada ini diangkat anak sama om ded karna keadaan ayahnya
73,73,73,beben t five itu yg dulu gondrong maen bassgitar gitu bukan sih
74,74,74,senyum senyum nonton ini
75,75,75,baru tau ayahnya nada ternyata artis juga di zamannya sehat semuanya 
76,76,76,emang sebnerny impian stiap ank perempuan itu punya kakak laki2karena pasti ngejagainya lebi tau selahny dr pada bpak kita soalny 1 jaman
77,77,77,bayangin agus yang ditolong wkwk pasti nglunjak
78,78,78,nah ini kl org baik ketemu org baik  adem liatnya  kebayang kl nolongin org yg salah nanti yg ada malah minta duit konten ratusan juta atau malah manggil pengacara karna ngangkat anak org 
79,79,79,menit 4910 
80,80,80,om ded penghancur lagu becanda
81,81,81,akhirnya
82,82,82,ternyata nada mirip ayahnya
83,83,83,respect mang beben
84,84,84,mewek banget video ini kangen alm papaku nada you are so lucky to have 2 amazing dads jadi anak 2 legend pada bidangnya tuh sesuatu banget  manfaatkan dengan baik kesempatan yg ada
85,85,85,keren bang dedi jd orang tua angkat yg memberikan pendidikan karakter dan ttp memberikan support buat nada serta dibantu dijagaian azka yg protectif dlm arti postitif terimakasih papah dedi dan buat nada ttp jg sayangi hormati ayah kandungnya jg ya semoga jadi anak yg rendah hati baik sholehah aamiin
86,86,86,om dedy c mmng kerent  nada kamu beruntung punya dua sosok laki2 yg hebat
87,87,87,ngakak liat dedi cobuuzier nyanyi pas bareng nada hahahahaahhabecandain nada hehehetp om dedi ternyata bagus juga suaranyauhuuy heehe
88,88,88,deddy orang yg sangat baik semoga tambah sukses
89,89,89,ibu nya nada si sabrina bukan sihhh serius nanya jgn di bully gw tuh pikir nada ga punya bapak lg dedy nikahin janda mati ga tau nya msh ada bapak nya salutt bgt sm nada gw nangiss bgt pas dia ikutan acara kompetisi trs dedy nyanggupin biaya nya nada sekolah
90,90,90,cocok kok jadi anak om ded nada
91,91,91, kami ngefans berat sama keluarga ini nice banget pokoknya sehat sehat selalulah kalian om dady  sekeluargaallah menyertai kalianaamiin
92,92,92,you so lucky  nada have two fathers
93,93,93,om botak 
94,94,94,terharu 
95,95,95,aguuuuusssssnonton ni podcast masih bisa denger kan lu
96,96,96,jad keinget hong hae in
97,97,97,nada lama2 kok mirip kak sabrina ya
98,98,98,akhirnya bisa liat ortunya nada penasaran gimana hubungan om dedy sama ortu kandungnya
99,99,99,zikit dan baca alquran dibanyakin ayah nada yg sabar
100,100,100,mashaallah bahagia banget nada punya 2 ayah yang sangat sayang sama dia yang menolong baik yang ditolong tau terimakasih sejuk sekali
101,101,101,ternyata nada itu muslimmasyallahsehat sll untuk ayahnya nadastlh denger cerita ini smg om dedi selalu  bantu ayahnya nadaaamiin
102,102,102,terharuu 
103,103,103,dari attitude nada aja udh kliatan hebatnya ayahnya mendidik dia dan om deddy beruntung sih ketemu anak pinter dan berbakat kyk nada
104,104,104,respect buat om deddy 
105,105,105,wahh ada nadakangen liay konten konten nada bareng azka suka liat azka jahilin nada
106,106,106,nada sering ke bandung
107,107,107,jadi inget ayah aku dulu punya kanker ganas di otak 24 tahun yg lalu di rujuk ke rs bandung tapi entah kenapa mamah gak pernah mau berangkat mungkin karna keterbatasan ekonomi selama 23 tahun ayah menderita sakit akhirnya ayah berpulang miss you ayah 
108,108,108,pemandangan yang indah 
109,109,109,ada sedihnya tapi lebih seru melihat keakraban nada sama papanya dan ayahnyabener popcast yg bikin senang
110,110,110,masya allahikut seneng dan bersukur melihat om deddy sehebat itu nada dan ayahnya juga bisa menempatkan diri dg baikhebat hebat
111,111,111,cengar cengir sendiri gua liat podcast ini
112,112,112,bahagia dan beruntungnya nadadi kelilingi org org yg menyayangi  mencintainya
113,113,113,pas nyanyi kok di cepetin kan pengen denger
114,114,114,ahkir kata kata nya membikin aku meneteskan airmata  mas deddy  baik
115,115,115,
116,116,116,
117,117,117,suka bangettt liatnya
118,118,118,apdi padahal hajat ku cmn 1 studio 1 pc buat kerja sma makan sma alat2 gym 
119,119,119,kanker pasti bg udin tuh gra2 dia kcau smua hubungan 
120,120,120,nggak nyangka azka bakal begitu ke nada kirain cuek bodoamat gk peduli
121,121,121,undang gus miftah om ded 
122,122,122,dari awal napa jga om dedy  kirain ank bu sab  kan jlas gni kan tnggl cari 100 cwe aku 
123,123,123,saya sekarang baru paham kenapa nada ini protektif ke papa dedi karena mungkin dia nggak mau papanya sakit juga seperti ayahnya ya mungkin begadang minum minum dan segala macamnya diam agak protektif karena takut papa juga sakitjadi mungkin dia lebih protektif ke para bapaknya ini ya begini
124,124,124,paling ngakak cerita soal azka yg protective hahahahahahaha azka jagain bgt nada takut adek kesayangan knp2sukak bgt sama the corbuziers ini sekeluarga so sweet bgt mana ayah dan papanya kompak pula wkwkwkwwkwk btw lagu2 tfive itu nemenin masa mudaku sehat terus ya mas beben nadawhat a lucky girl you are
125,125,125,saya sbg seorang kakak yg memiliki adik perempuan mengerti tanggung jawab azka sbg seorang kakak 
126,126,126,i see 2 gents who have so much respect and love towards each other sehat sehat om bhenom dedd nadaa
127,127,127,bahas gus miftah yg viral menghina penjual es teh skliyan lu ajarin si miftah adab sopan santun dan rendah hatitrims wassalam
128,128,128,tanggapan nya om ded soal di agus miftah
129,129,129,kapan undang gus miftah lagi ded
130,130,130,om ded guru lu buat masalah tuh
131,131,131,untung dedi nolongnya orang yang tau bersyukurcoba kalau dedi nolongnya agus pasti beda endingnyaujung2 om ded yang dilaporin kasus penculikan anak 
132,132,132,mreka gak sedih gk nangis gk cerita yg lebay tapi aku terharu sm hubungan mreka bertiga salut keren bgt  ikut nangis bahagia
133,133,133,the best lo om ded 
134,134,134,gini harusnyaa kalo ditolong orang lain yaa gak aji mumpung tau diri baik sekali tau terimakasih semangaaat papa nada
135,135,135,masyaallah perbincangan yg indah bgt
136,136,136,ibu nya nada kmana emg nya ya ada yg tau gk maaf ya cuma penasaran aja
137,137,137,om ded undang lagi pak miftah di podcast ini dong
138,138,138,keren
139,139,139,om deddy corbuzier tolong undang gus miftah atas videonya yg viral goblok goblokin pedagang  air yang sedang mencari nafkah
140,140,140,om kenapa ga baha gusmiftah yg di bilang gurumu lagi viral tuh
141,141,141,tahta tertinggi walaupun punya 2 ayah masih ada kak azka
142,142,142,gilaaa nggak kerasa saya berkaca2 ngeliat kalian ngobrol 2 ayah yang hebat
143,143,143,masya allah beruntungnya nada ayahnya sakit tumor tp bisa sembuh bapakku juga tumor otak posisinya hampir sama bagian depan tp sebelah kiri bapakku sampe 4 kali operasi tp allah berkehendak lain bapak hanya bertahan 3 tahun sama persis bapakku juga sering lupa kya ayahnya nada sehat selalu buat ayahnya nada
144,144,144,keluarga yang harmonis semoga selalu di berikan kesehatan untuk semuanya
145,145,145,coba gus miftah diajarin bosss
146,146,146,sebagai anak yg fatherless sejak kecil nonton ini sepanjang episode dikit2 nangisssss  beruntung banget nada punya ayah dan papa yg keren sehat selalu ya untuk ayahnya nada kalian semua keren 
147,147,147,om ded baek ya barokalloh
148,148,148,ustd khalid kapan di undang lagi om
149,149,149,hebat om dedi
150,150,150,undang gus miftah om coba suruh klarifikasi di channel ini dengan adanya vidio yg viral itu
151,151,151,saya salut dgn om ded dr dlu karna moralnya semakin mateng dan azka jg sampe sesyg itu sama nada meski bkn adik kandungsalut buat om ded azka dan sekeluarga bisa jadi panutan kita
152,152,152,bos ded tanggapan nya gimana ya tentang gus miftah  semoga dia sadar dan berubah lebih baik ya jangan buat orang lain sakit hati dan sedih  kasihan bpak penjual es itu  di hadapan allah bisa jadi dia lebih mulia daripada si gus gus itu 
153,153,153,tanggapanya tentang kasus es teh manis om
154,154,154,setelah yang agus ga indah terbitlah beben yang sangaaaaaaaaaat indah nada kamu adalah gadis terberkahi di alam semesta ini
155,155,155,es esteeeeh hadirkan miftah klarifikasi wajib esteeeeh esteeeeeeh
156,156,156,kebetulan ne tema ayah om ded tu liat kelakuan gurumu 1 ayah yg direndahkan jutaan anak yg sakit hati karena ucapannya gurumu si toleransi agama tapi tidak dengan toleransi sosialnya
157,157,157,nada terlihat sekali walau kuat di luar tampak rapuh dalamnya sedih liat ayahnya
158,158,158,antara contoh manusia yang tahu bersyukur bukan mcm adam dan anak angkt asynti
159,159,159,sama persis adek ku operasi tumor otak 2007 selang sehari dengan gugun gondrong dan erna liby  alhamdulillah bertahan sembuh sampai 2012  lalu muncul lagi dari yg 20 numbuh lagiperjuangan ku bertahun merawat beliaudisaat usia ku masih 21 tahun bertaruh dan berjuang banyak hal mengupayakan kesembuhan nyainformasi di internet belum semasif sekarang rumah sakit pon belum ada bpjs belum ada aku melewati banyak hal luar biasaanak muda miskin memperjuangkan kesembuhan adik yg tumor otak operasi di rspau dengan dr wawan spbs
160,160,160,bntar lg pasti ngundang gus miftah 
161,161,161,bentar lagi pasti ngundang gus miftah nih om ded 
162,162,162,ah nada saya iri lhokm masih bisa bilang i love you dan masih bisa cium pipi ayahmu dan di respon pulasedangkan saya sudah 10 tahun dari terakhir saya mencium memandikan dan menguburkan ayah sayadan cium terakhir saya dalm kondisi beliau sudah tdk meresponbuat ayah nada semangat untuk sembuh dan lebih baik lagi ya semoga suatu saat nada menikah dirimu masih ada untuk menjadi wali nya
163,163,163,om ded gimana tanggapan nya yang lagi viral penjual es teh
164,164,164,tumor otak jadi inget almibuku
165,165,165,om maaf ni undang gus miftahsma bpak penjual es itu omnetijen geram semua ini kasian bpak nya itubeliau yg di goblok2in netijen juga yg mrsakan sakit hati nyamungkin bpak nya anak nya  dan kluarganya pasti mrasakan sakit nya bercanda nya gus miftah ngaco itugk liat sitkonharus minta maaf klo mrsa buat orang sakit hatisekalian undang itu yg pake kacamata ketawa nya puas bngt gak lucu ituom ded kan kenal dekat dengan beliau cobalah diskusi dengan beliau mohon maaf om bukan mau sok gmna gitu demi kebaikan bersama ajh kasiann bpak nya
166,166,166,bahagia banget liat nada disayang dan dijagain banget sama 3 orang laki hebat 
167,167,167,podcast paling tongkrongan setaiill kek lagi bertamu duduk di meja tamu sih ini asik
168,168,168,btw ada yang sama gak sih klo nonton chanelnya om ded di hp meski buka aplikasi lain atau diminimize videonya gak nutup tapi klo nonton di chanel yang lain videonya langsung nutup
169,169,169,terharu 
170,170,170,om deddy  undang gus miftah lagi dong  lagi viral ini  terimakasih
171,171,171,ditunggu tanggapan tentang gusmiftah dan es teh
172,172,172,om ded gimana tanggapan om ded tentang si gus miftah itu yang melontarkan perkataan yang sangat tidak di harapkan oleh semua orang kepada penjual es teh tersebut
173,173,173,punya ayah papa yg syg bgt jg kk yg protect bgt itu previledge loh nadaga smw wanita yg mengimpikan itu bs merasakan 
174,174,174,simplegak berattapi masuk hati
175,175,175,omm ded bahas gus goublok juga donk
176,176,176,seneng liatnyasampe keluar air mataom dedy ttp jd papanya nada ayahnya nada makin sehat
177,177,177,sangat menyentuh
178,178,178,definisi of orang bandung yang basic nya sundagak enakan
179,179,179,tengkiuuu omini salah satu podcast terbaikkkkk sehat dan suksesss selaluuuuu buattt para orang tuaaaa
180,180,180,penjual es teh yang di hina dan dipermalukan utusan khusus presiden di depan orang banyak tolong di up omjngn karna kenal sama utusan khusus jadinya om dedi tak mau angkat beritanyamohon di angkat beritanya ombiar orang orang toxic dibersihkan dari pemerintahan pak prabowo
181,181,181,om deddy pasti lagi pusing kepala gus miftah minta di tolongin di undang ke podcast dia mau klarifikasitapi dia lakuin kesalahan fatalmakanya om dede bingung mau lewat celah mana nolonginnya udah ga ketolong 
182,182,182,undang guz miftah om yg lagi viral 
183,183,183,om ded pas jd mualaf sma gus miftah yah 
184,184,184,keren ayah nya nada cool bgt beliau niihdan just knew that he was one of tfives member
185,185,185,ini episode terloveeee
186,186,186,woy botak liat kelakuan guru lu
187,187,187,dengan segala keterbatasan krn sakitnya beliau tetap tegak di atas kaki sendiri ngga menjual rasa sakitnya agar dikasihani keren sih semoga lekas pulih dan dibuka pintu rezekinya aamiin
188,188,188,bawa di podhub om ayah nya nada nya 
189,189,189,om dedy undangan gus miftah mencaci maki orng jualan teh kata nya mengenal allah tapi tidak ada adab itu kata nya paham agama wkkwkw
190,190,190,ah suka banget liatnyaaa  dreal angkat anak yang indah tuh ga kaya gni banyak yg angkat anak buat cari panggung doang trus gattau kabarnya gimanaa
191,191,191,undang gus miftah tmn om dedy lagi virall yg bilang tukang es teh pedagang kaki limaom viral gus miftah di medsos
192,192,192,nada mirip ayhnya
193,193,193,ya allah semoga ayah nada sehat kembali 100
194,194,194,om ded jangan sampe miftah yang ngaku gus itu diundang ke podcastmu ya om
195,195,195,kalian bertiga ngga ada yg nangis gitu biar aku wakilin aku aja yg nangis  huahuahuaaaa   
196,196,196,undang katanya gus miftah om
197,197,197,nada kamu beruntung
198,198,198,om ded  undang si gus miftah guru sampean dong terkait adab buruk nya menghina penjual es tehjgn ambil ilmu nye dr manusia macem die 039
199,199,199,suami ku seperti itu masalah sebesar apa pun dia pendam sendiri dia tidak mau istri nya kepikiran 
200,200,200,nada denger tangannya gak bisa diem lebih cocok belajar bass  jarinya bakal lebih aktif
201,201,201,undang a gus miftah dongpendakwah dengan tutur kata yg aangat sopan
202,202,202,klu al el dul py 2 ayah satu kaya yg satu kaya bangetnada punya 2 ayahyg satu sayang yg satu banget
203,203,203,seru ih liat ayah papah nada 
204,204,204,om dedy hebat bapak angkat yang hebat  tetap mendekatkan nada sama ayah ibunyaseneng lihatnya harmonispengin nangis liatnya 
205,205,205,meskipun tumor otak tapi pikirannya morall kelassbanyak yang otaknya normall tapi gatau diriterutama agus dan miftah
206,206,206,terimakasihpulau777
207,207,207,lagi nunggu podcast cebok nya si miftah disini biasane bentar lagi tayang
208,208,208,om dedy coba udah liat belum video guru spiritualnya om dedy mengenai gus miftah dan pedagang es teh bagaimana responnya om dedy
209,209,209,definisi pria tidak bercerita kecuali agus
210,210,210,suka banget sama keluarga kalian 
211,211,211,sempurna
212,212,212,om sebagai seorang bapak yang sedang berusaha mencari nafkah dengan menjual air lalu di hina didepan banyak sekali manusiatanyakan ke azka dan nada apa yg bakal mereka lakuin
213,213,213,
214,214,214,nenx undang master limbads om
215,215,215,2 lelaki hebat
216,216,216,om undang herris skuy dong om orang yg di block dari ometv
217,217,217,titip pesan but gus miftah kalau mampir kesini buat klarifikasi om ded kalau seandainya yg jualan ea teh itu bapak si gus yg lagi cari nafkah gimana digituin didepan umumkalau dia bilang dia bisa dengan hal seperti itu apakah standar kebenaran itu berdasarkan kebiasaan jika kebiasaan dijadikan alat utk pembenaran bisa kacau semua jika di suatu derah ada masyarakat nya berjudi zina apakah bisa dijadikan landasan kebenaran karena sudah kebiasaan katanya ulama ulama adalah pewaris para nabi apa ada nabi yg begitu adabnya
218,218,218,awal aku ketawa ikut bahagia lihat keluarga nada tapi kebelakngnya terharu mewek pelajaran berharga dewasa dan bahagia dg keluarga bersama sama didik anak
219,219,219,kok gbsa diputar ya
220,220,220,seneng liat ini om ded happy bgt nada selalu bersukur ya 
221,221,221,om ded podcast miftah lg dong seruu ni
222,222,222,sosok ayah dan papa yang amat sangat saya rindukansaya belum bisa seperti beliau
223,223,223,
224,224,224,deddy  nohh guruhhh elu miftahhhh  blunder engga speak up lu  lumayan adsense ya gede nihh cuaaaann 
225,225,225,omundang dong panutan anda yang sedang dihujat seluruh indonesiaberani gak
226,226,226,closing yg indah sepanjang masa podcast close the door yg pernah ada ikut bahagia dan bisa merasakan khususnya buat gw yg juga seorang ayahbahagia dan sehat selalu buat kita semua cheers 
227,227,227,bahagia ya nada punya sosoh ayah sama papah diduniaaku ikut senangterharu liatnya aku anak tanpa sosok ayah atau papah dlm hidupku
228,228,228,the real podcast banyak irisan bawangnyasalut sama ayah dan papa nada it takes a big heart to be like that you are so blessed nada
229,229,229,om ded demi apapun tahun 20102011 saya pernah jemaat di bethny cikarang sebelum tersadarkan dan tobat pindah gereja ada satu pendeta lupa namanya yg bilang ke anak2 youth kalo om ded itu petinggi gereja setan dong  orang sebaik ini dong 
230,230,230,wish nya dalem banget
231,231,231,terharu
232,232,232,om ded bilangin sama sahabatmu si gus itu apa lagi sekarang udah jd pejabat pasti akan lebih disorot kalau ngomong mbok ya di filter jangan suka nyakitin hati orang terutama orang kecil
233,233,233,saya tidak mengharapkan uang kembali tapi saya tidak ingin ada orang lain yang terkena dampak seperti saya
234,234,234,ayah sama papahnya keliatan sayang bgt 
235,235,235,banyak yang kena tipu dengan model seperti itu pak deddy tolong usut saya sudah dan suami saya sudah 2x kena tipu dengan penipuan yang berbeda sudah lapor polisi tapi percuma sudah 3 tahun tidak ada kejelasan tolong pak deddy
236,236,236,baru liat judul udah mau nangis aja ini gimana
237,237,237,undang gus mifftah goblok  om
238,238,238,siapa yang ngiris bawang sih
239,239,239,ya allah itu lagu kesukaan sy pd jaman sma dulu
240,240,240,podcast selanjutnya membantu gus miftah klarifikasi  setelah gerindra suruh minta maaf langsung cepet buat video 
241,241,241,sometimes i hate copyright things 
242,242,242,seneng bgttt ya nada banyak yg sayang
243,243,243,masyaallah beruntung sekali nada dipertemukan dg om dedi  sehat2 selalu
244,244,244,perasaan gw kaga ada yg nangis dah di podcast inii tp ngapa gw yg nangis dah
245,245,245,bang es teh nya gus miftah bang
246,246,246,bahagia nada mempunyai dua sosok ayahpapa yg sangat menyayangi 
247,247,247,om ded gusmiftah noh
248,248,248,klarifikasi si miftah akan tayang kapan gus
249,249,249,es teh es teh yg haus yg haus
250,250,250,brebes miliiiiiikuuuttt  hepiiiii
251,251,251,om ded coba ajak pak mitfah buat ngobrol2 soal kejadian tukang es teh yg viral
252,252,252,wah baru tau ternyata nada anaknya living legend beben tfive
253,253,253,lihat gini guss jgn marukk
254,254,254,gua masih ada ayah  tapi iri ajah 
255,255,255,om ded is the bestini yg namanya sibiosis mutualismeikut bahagia ngelihatnyamemang benar cara didik anak sekarang memang salahdikiranya orang tua memberi kasih sayang tp dampaknya merugikanaku juga dulu kecil ikut sm nenek dan kakekku karena orang tua berceraidan di sana cara didik nenek kakekku seperti melatih militerhampir setiap hari kena pukul sapukena cubit smpe bengkakngga boleh buat salah sedikitpundr sana aku belajardisiplin itu pentingdan aku terapkan sm anak ku sekarangwalaupun tanpa kekerasan aku tegas dan galak sm anakkualhamdullilah anakku nurut dan patuhberbeda dengan anak lain jaman sekarangsemoga tetap menjadi anak yg sholehamin
256,256,256,wahhhhhhhhhhhhh who is she 
257,257,257,gus miftah
258,258,258,bahas miftah om dedundang penjual es disini buat klarifikasi dong
259,259,259,itulah pentingnya pendidikan moral dan adab buat anak sekarangom ded orang yg tepat dr segala aspek lanjutkan omga bosen2 nonton podcast nya
260,260,260,aku nangiss sepanjang podcast   nada how lucky u are
261,261,261,aku dari kecil dikenal sbg anak yg tlutuk kl dalam bahasa jawa atau anak yg kebanyakan tanya dan ngejar sampai aku puas rasanya pas dikatain tlutuk sama org2 dewasa sekitarku tuh sakit banget bahkan aku masih tandain org2nya  jadi aku sejak kecil aku enggak mau kalau aku dewasa jadi org seperti itu akhirnya aku baca aja salah satu yg memorable dulu suka pinjam koran ke ruang guru gitu aja masih ada oknum guru yg nanya buat apa anak smp kok baca koran mana bacanya di lorong sekolah lagi   aku akan jadi ortu yg ngajarin anak banyak why jadi ortu yg bertumbuh belajar bareng anak
262,262,262,om ded tolong bilangin   miftah goblok  ada seorang ayah di lecehkan di tengah ribuan orang
263,263,263, so warm  beautiful sehat2 selalu om ded  keluarga  mberebes mili 
264,264,264,semoga sisa tumor kang beben segera bisa dipindahkan ke agus aja
265,265,265,terus tiba tiba ayah kita dibilang goblok sama si miftah
266,266,266,jujur aku sangat menikmati obrolan keluarga ini 2 sosok ayah yang sangat luar biasa nada kamu beruntung banget
267,267,267,om ded uda tau guru u mifta sedih lihat ucapan ygimna konsep y kq bisa gitu
268,268,268,apa reaksi dan pendapat om dedy melihat ucapan gus miftah  yg telah menghina bapak tua penjual minuman es teh dalam pengajian nya
269,269,269,
270,270,270,apakah ortu nada pisah ya kok ayah nya di bandung nada sm bunda nya di jkt
271,271,271,sumpahhhhhh kalian keren dan hebat banget terlepas dari apapun dan siapapun kalian aku specleess sebagai anak dan manusia yg kurang kasih sayang sedari kecil aku berasa nada itu aku aku pinjam sejenak kebahagiaan dan rasa yg nada rasakan entahlah aku  ga bisa ungkapin dengan katakata seperti apa terimakasih atas cinta yg kalian tunjukan hatiku ikut menghangat 
272,272,272,yg bikin seneng tuh kita semua lihat klo nada memanfaatkan previlage dan rezekinya itu sebaik2 nya
273,273,273,pas ref nya keren banget
274,274,274,om ded coba undang seorang ayah penjual es teh yg sedang berikhtiar mencari rezeki buat keluarga nya eh malah di goblokgoblokin ulama di depan halayak banyak om kasian beliau sudah berusaha mencari rezeki halal kena ulti goblok ulama 
275,275,275,beruntung nadadikeliling 3 laki yg sayang bgtayahpapaka azka
276,276,276,beruntung bngt nada punya ayah papa hebat
277,277,277,aku mohon undang gus miftah om ded walaupun beliau panutannya om tp udah keterlaluan bercanda yg viral sekarang
278,278,278,bagaimana tanggapan nya om dedy mengenai viralnya gus mifta
279,279,279,beruntung bgt nada punya ayah dan papa yg sayang bgt sama dia punya kaka dan mama sambung juga baik2
280,280,280,gus miftah gimana om ded 
